dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
343,0.0012651885626837611,0.0019572400487959385,3.032238964806311e-06,9.24319010664476e-06,0.0012621560599654913,0.0019531799480319023,203
344,0.011876084841787815,0.018361585214734077,3.868600742862327e-06,1.1469611308712047e-05,0.011872215196490288,0.018359797075390816,203
345,0.0014871875755488873,0.0015097096329554915,1.0518938324821647e-05,2.35131592489779e-05,0.0014766678214073181,0.0015052154194563627,203
346,0.45764070749282837,0.19214975833892822,0.004287226591259241,0.008653645403683186,0.453353613615036,0.19161152839660645,203
347,0.0001577219518367201,0.0003144539659842849,0.05483648553490639,0.08318828046321869,-0.0546787865459919,0.08320770412683487,203
348,8.538327165297233e-07,1.8478227730156505e-06,0.00013518583728000522,0.0002491692721378058,-0.00013433201820589602,0.00024850788759067655,203
349,1.5437051104072452e-07,4.158951867339056e-07,1.7487696823081933e-05,3.647239282145165e-05,-1.7333324649371207e-05,3.632220614235848e-05,203
350,0.005558226723223925,0.006457686424255371,0.013528753072023392,0.03194921463727951,-0.00797052588313818,0.03229212760925293,203
351,0.00014393676246982068,0.00017321047198493034,5.507701280293986e-05,0.00010375963756814599,8.885976421879604e-05,0.00017987217870540917,203
352,9.30648729990935e-06,1.5135376997932326e-05,0.001058692578226328,0.005536175332963467,-0.0010493856389075518,0.005537251476198435,203
353,0.0005118798580951989,0.0010236806701868773,0.0006262504612095654,0.0008966562454588711,-0.0001143705885624513,0.0013192279729992151,203
354,0.0010848630918189883,0.0017395782051607966,0.0040886541828513145,0.012223020195960999,-0.0030037916731089354,0.012481479905545712,203
355,4.8181042075157166e-05,7.717298285569996e-05,1.7744150682119653e-05,3.352963904035278e-05,3.0436898668995127e-05,6.608725379919633e-05,203
356,0.00018348312005400658,0.00035849257255904377,0.00013165915152058005,0.00022461726621259004,5.182401946512982e-05,0.00041851907735690475,203
357,0.0012544282944872975,0.002371374284848571,0.0001624472497496754,0.0002929411130025983,0.0010919816559180617,0.0024292864836752415,203
358,9.5298484666273e-05,0.00024706500698812306,1.587569022376556e-05,4.998785880161449e-05,7.942281081341207e-05,0.00024205022782552987,203
